month,mean_rh,mean_sunshine_hrs,mean_temp,mth,year
1982-01-01,81.2,5.6,25.9,1,1982
1982-02-01,79.5,7.6,27.1,2,1982
1982-03-01,82.3,5.1,27.2,3,1982
1982-04-01,85.9,4.7,27.0,4,1982
1982-05-01,83.2,5.8,28.0,5,1982
1982-06-01,80.3,7.3,28.4,6,1982
1982-07-01,77.6,7.6,28.2,7,1982
1982-08-01,80.4,5.4,27.7,8,1982
1982-09-01,80.6,5.2,27.9,9,1982
1982-10-01,81.5,5.6,27.4,10,1982
1982-11-01,83.4,5.8,27.3,11,1982
1982-12-01,87.7,3.3,26.2,12,1982
1983-01-01,85.6,4.3,26.5,1,1983
1983-02-01,78.0,9.3,28.1,2,1983
1983-03-01,76.0,8.9,28.9,3,1983
1983-04-01,77.2,6.6,29.4,4,1983
1983-05-01,83.2,5.9,28.3,5,1983
1983-06-01,82.4,5.9,28.3,6,1983
1983-07-01,83.7,5.4,27.6,7,1983
1983-08-01,81.2,6.3,28.1,8,1983
1983-09-01,84.4,3.8,27.2,9,1983
1983-10-01,82.5,5.2,27.6,10,1983
1983-11-01,85.2,3.2,26.6,11,1983
1983-12-01,88.0,2.7,25.4,12,1983
1984-01-01,85.8,4.1,25.5,1,1984
1984-02-01,86.0,4.1,25.8,2,1984
1984-03-01,85.4,5.3,26.5,3,1984
1984-04-01,83.8,6.2,27.3,4,1984
1984-05-01,84.1,6.4,27.3,5,1984
1984-06-01,83.1,5.4,27.5,6,1984
1984-07-01,83.7,5.7,27.2,7,1984
1984-08-01,84.1,6.0,27.4,8,1984
1984-09-01,83.9,4.9,26.8,9,1984
1984-10-01,82.5,5.3,27.4,10,1984
1984-11-01,86.3,4.3,26.5,11,1984
1984-12-01,86.7,3.3,26.0,12,1984
1985-01-01,81.5,8.7,26.6,1,1985
1985-02-01,84.0,6.5,27.0,2,1985
1985-03-01,83.9,5.6,27.1,3,1985
1985-04-01,83.8,5.5,27.5,4,1985
1985-05-01,83.4,5.7,28.0,5,1985
1985-06-01,79.4,5.8,28.2,6,1985
1985-07-01,83.1,5.3,27.0,7,1985
1985-08-01,80.4,6.2,27.7,8,1985
1985-09-01,83.1,5.0,26.9,9,1985
1985-10-01,84.7,4.1,26.7,10,1985
1985-11-01,85.0,4.1,26.6,11,1985
1985-12-01,86.2,4.6,26.1,12,1985
1986-01-01,83.9,3.9,25.7,1,1986
1986-02-01,78.4,7.2,26.9,2,1986
1986-03-01,86.6,4.6,26.4,3,1986
1986-04-01,85.3,6.2,27.4,4,1986
1986-05-01,81.8,6.1,28.2,5,1986
1986-06-01,82.5,6.8,27.9,6,1986
1986-07-01,79.9,6.2,27.9,7,1986
1986-08-01,77.3,5.6,28.3,8,1986
1986-09-01,84.4,4.8,26.7,9,1986
1986-10-01,85.0,5.0,26.9,10,1986
1986-11-01,84.1,4.5,26.6,11,1986
1986-12-01,85.2,5.4,26.3,12,1986
1987-01-01,86.0,4.0,25.5,1,1987
1987-02-01,79.0,9.2,26.6,2,1987
1987-03-01,83.2,6.9,27.5,3,1987
1987-04-01,82.8,6.2,27.9,4,1987
1987-05-01,84.6,5.6,27.6,5,1987
1987-06-01,80.7,6.8,28.7,6,1987
1987-07-01,81.3,6.7,28.1,7,1987
1987-08-01,83.6,5.1,27.4,8,1987
1987-09-01,82.5,5.4,27.6,9,1987
1987-10-01,82.1,5.8,27.9,10,1987
1987-11-01,84.0,4.5,27.3,11,1987
1987-12-01,84.6,4.8,26.4,12,1987
1988-01-01,84.3,5.9,26.8,1,1988
1988-02-01,83.2,6.7,27.1,2,1988
1988-03-01,85.3,5.2,27.3,3,1988
1988-04-01,84.5,5.4,27.8,4,1988
1988-05-01,82.7,5.6,28.4,5,1988
1988-06-01,81.6,6.5,28.0,6,1988
1988-07-01,84.0,6.0,27.3,7,1988
1988-08-01,84.9,4.9,27.0,8,1988
1988-09-01,84.5,4.8,27.1,9,1988
1988-10-01,83.2,4.1,27.5,10,1988
