month,total_rainfall,maximum_rainfall_in_a_day,no_of_rainy_days,year,mth,average_rainfall_per_day,monthly_probability_of_rain
1982-01-01,107.1,36.5,10,1982,1,10.709999999999999,0.3225806451612903
1982-02-01,27.8,9.4,5,1982,2,5.5600000000000005,0.17857142857142858
1982-03-01,160.8,61.7,11,1982,3,14.618181818181819,0.3548387096774194
1982-04-01,157.0,45.1,14,1982,4,11.214285714285714,0.4666666666666667
1982-05-01,102.2,33.0,10,1982,5,10.22,0.3225806451612903
1982-06-01,59.5,20.6,8,1982,6,7.4375,0.26666666666666666
1982-07-01,76.3,17.2,8,1982,7,9.5375,0.25806451612903225
1982-08-01,169.5,57.7,11,1982,8,15.409090909090908,0.3548387096774194
1982-09-01,54.1,18.0,9,1982,9,6.011111111111111,0.3
1982-10-01,39.3,10.0,10,1982,10,3.9299999999999997,0.3225806451612903
1982-11-01,134.0,39.6,13,1982,11,10.307692307692308,0.43333333333333335
1982-12-01,494.1,109.0,21,1982,12,23.52857142857143,0.6774193548387096
1983-01-01,246.0,43.2,18,1983,1,13.666666666666666,0.5806451612903226
1983-02-01,5.6,5.1,2,1983,2,2.8,0.07142857142857142
1983-03-01,18.6,18.3,2,1983,3,9.3,0.06451612903225806
1983-04-01,33.6,21.3,4,1983,4,8.4,0.13333333333333333
1983-05-01,160.8,32.3,11,1983,5,14.618181818181819,0.3548387096774194
1983-06-01,94.0,27.7,11,1983,6,8.545454545454545,0.36666666666666664
1983-07-01,190.0,55.5,18,1983,7,10.555555555555555,0.5806451612903226
1983-08-01,262.2,181.8,10,1983,8,26.22,0.3225806451612903
1983-09-01,170.8,50.3,18,1983,9,9.488888888888889,0.6
1983-10-01,212.7,40.0,17,1983,10,12.511764705882353,0.5483870967741935
1983-11-01,228.8,54.8,18,1983,11,12.711111111111112,0.6
1983-12-01,370.6,164.4,16,1983,12,23.1625,0.5161290322580645
1984-01-01,251.2,62.3,18,1984,1,13.955555555555556,0.5806451612903226
1984-02-01,470.4,154.4,19,1984,2,24.757894736842104,0.6785714285714286
1984-03-01,361.3,119.4,19,1984,3,19.01578947368421,0.6129032258064516
1984-04-01,153.1,38.7,17,1984,4,9.005882352941176,0.5666666666666667
1984-05-01,186.5,46.0,12,1984,5,15.541666666666666,0.3870967741935484
1984-06-01,255.0,121.1,14,1984,6,18.214285714285715,0.4666666666666667
1984-07-01,127.2,49.2,12,1984,7,10.6,0.3870967741935484
1984-08-01,102.7,22.5,13,1984,8,7.9,0.41935483870967744
1984-09-01,186.7,46.5,17,1984,9,10.98235294117647,0.5666666666666667
1984-10-01,187.5,47.2,11,1984,10,17.045454545454547,0.3548387096774194
1984-11-01,127.7,35.4,17,1984,11,7.511764705882353,0.5666666666666667
1984-12-01,277.4,58.4,22,1984,12,12.609090909090908,0.7096774193548387
1985-01-01,111.1,35.5,7,1985,1,15.87142857142857,0.22580645161290322
1985-02-01,79.3,18.7,11,1985,2,7.209090909090909,0.39285714285714285
1985-03-01,88.0,23.8,13,1985,3,6.769230769230769,0.41935483870967744
1985-04-01,110.5,29.3,14,1985,4,7.892857142857143,0.4666666666666667
1985-05-01,70.1,36.2,12,1985,5,5.841666666666666,0.3870967741935484
