Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,month,year,week,YearWeek,rh,daily_Tavg_lag_1,daily_Tavg_lag_2,daily_Tavg_lag_3,daily_Tavg_lag_4,daily_Tavg_lag_5,daily_rh_lag_1,daily_rh_lag_2,daily_rh_lag_3,daily_rh_lag_4,daily_rh_lag_5,weekly_Tavg_lag_1,weekly_Tavg_lag_2,weekly_Tavg_lag_3,weekly_Tavg_lag_4,weekly_Tavg_lag_5,weekly_rh_lag_1,weekly_rh_lag_2,weekly_rh_lag_3,weekly_rh_lag_4,weekly_rh_lag_5,weekly_precip_lag_1,weekly_precip_lag_2,weekly_precip_lag_3,weekly_precip_lag_4,weekly_precip_lag_5,weekly_StnPressure_lag_1,weekly_StnPressure_lag_2,weekly_StnPressure_lag_3,weekly_StnPressure_lag_4,weekly_StnPressure_lag_5,weekly_SeaLevel_lag_1,weekly_SeaLevel_lag_2,weekly_SeaLevel_lag_3,weekly_SeaLevel_lag_4,weekly_SeaLevel_lag_5
2007-05-01,1,83,50,66.5,14,51,56,0, 2,0448,1849, ,0.0,29.1,29.82,1.7,27,9.2,5,2007,18,200718,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-02,1,59,42,50.5,-3,42,47,14, 0,0447,1850,BR,0.0,29.38,30.09,13.0,4,13.4,5,2007,18,200718,72.526813017959,66.5,0.0,0.0,0.0,0.0,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-03,1,66,46,56.0, 2,40,48,9, 0,0446,1851, ,0.0,29.39,30.12,11.7,7,11.9,5,2007,18,200718,54.87491930550421,50.5,66.5,0.0,0.0,0.0,72.526813017959,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-04,1,66,49,57.5, 4,41,50,7, 0,0444,1852,RA,0.1,29.31,30.05,10.4,8,10.8,5,2007,18,200718,54.03811187981737,56.0,50.5,66.5,0.0,0.0,54.87491930550421,72.526813017959,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-05,1,66,53,59.5, 5,38,49,5, 0,0443,1853, ,0.1,29.4,30.1,11.7,7,12.0,5,2007,18,200718,44.75610933638369,57.5,56.0,50.5,66.5,0.0,54.03811187981737,54.87491930550421,72.526813017959,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-06,1,68,49,58.5, 4,30,46,6, 0,0442,1855, ,0.0,29.57,30.29,14.4,11,15.0,5,2007,18,200718,33.70218165157681,59.5,57.5,56.0,50.5,66.5,44.75610933638369,54.03811187981737,54.87491930550421,72.526813017959,57.42279751686274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-07,1,83,47,65.0,10,41,54,0, 0,0441,1856,RA,0.1,29.38,30.12,8.6,18,10.5,5,2007,19,200719,41.43795063649971,58.5,59.5,57.5,56.0,50.5,33.70218165157681,44.75610933638369,54.03811187981737,54.87491930550421,72.526813017959,58.083333333333336,0.0,0.0,0.0,0.0,52.88682211801731,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,29.358333333333334,0.0,0.0,0.0,0.0,30.078333333333333,0.0,0.0,0.0,0.0
2007-05-08,1,82,54,68.0,12,58,62,0, 3,0439,1857,BR,0.0,29.29,30.03,2.7,11,5.8,5,2007,19,200719,70.37250898029913,65.0,58.5,59.5,57.5,56.0,41.43795063649971,33.70218165157681,44.75610933638369,54.03811187981737,54.87491930550421,58.083333333333336,0.0,0.0,0.0,0.0,52.88682211801731,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,29.358333333333334,0.0,0.0,0.0,0.0,30.078333333333333,0.0,0.0,0.0,0.0
2007-05-09,1,77,61,69.0,13,59,63,0, 4,0438,1858,BR HZ,0.13,29.21,29.94,3.9,9,6.2,5,2007,19,200719,70.47782542093019,68.0,65.0,58.5,59.5,57.5,70.37250898029913,41.43795063649971,33.70218165157681,44.75610933638369,54.03811187981737,58.083333333333336,0.0,0.0,0.0,0.0,52.88682211801731,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,29.358333333333334,0.0,0.0,0.0,0.0,30.078333333333333,0.0,0.0,0.0,0.0
2007-05-10,1,84,56,70.0,14,52,60,0, 5,0437,1859,BR,0.0,29.2,29.92,0.7,17,4.1,5,2007,19,200719,52.83156593782089,69.0,68.0,65.0,58.5,59.5,70.47782542093019,70.37250898029913,41.43795063649971,33.70218165157681,44.75610933638369,58.083333333333336,0.0,0.0,0.0,0.0,52.88682211801731,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,29.358333333333334,0.0,0.0,0.0,0.0,30.078333333333333,0.0,0.0,0.0,0.0
